areaCode,areaName,areaType,date,cumDailyNsoDeathsByDeathDate,hospitalCases,newCasesBySpecimenDate
E92000001,England,nation,2020-08-10,49833,714,1349
E92000001,England,nation,2020-08-09,49810,611,555
E92000001,England,nation,2020-08-08,49792,650,636
E92000001,England,nation,2020-08-07,49774,711,866
E92000001,England,nation,2020-08-06,49755,756,980
E92000001,England,nation,2020-08-05,49738,805,942
E92000001,England,nation,2020-08-04,49731,807,920
E92000001,England,nation,2020-08-03,49711,842,936
E92000001,England,nation,2020-08-02,49692,847,512
E92000001,England,nation,2020-08-01,49677,879,494
E92000001,England,nation,2020-07-31,49661,870,626
E92000001,England,nation,2020-07-30,49635,898,856
E92000001,England,nation,2020-07-29,49621,927,971
E92000001,England,nation,2020-07-28,49600,944,778
E92000001,England,nation,2020-07-27,49580,945,809
E92000001,England,nation,2020-07-26,49564,965,515
E92000001,England,nation,2020-07-25,49536,977,492
E92000001,England,nation,2020-07-24,49516,1018,716
E92000001,England,nation,2020-07-23,49499,1095,729
E92000001,England,nation,2020-07-22,49466,1305,747
E92000001,England,nation,2020-07-21,49432,1188,688
E92000001,England,nation,2020-07-20,49402,1278,753
E92000001,England,nation,2020-07-19,49373,1301,414
E92000001,England,nation,2020-07-18,49351,1321,467
E92000001,England,nation,2020-07-17,49323,1346,548
E92000001,England,nation,2020-07-16,49292,1348,641
E92000001,England,nation,2020-07-15,49274,1489,724
E92000001,England,nation,2020-07-14,49235,1506,650
E92000001,England,nation,2020-07-13,49197,1612,690
E92000001,England,nation,2020-07-12,49155,1611,353
E92000001,England,nation,2020-07-11,49126,1640,420
E92000001,England,nation,2020-07-10,49093,1746,519
E92000001,England,nation,2020-07-09,49051,1801,682
E92000001,England,nation,2020-07-08,48995,1888,672
E92000001,England,nation,2020-07-07,48951,2010,560
E92000001,England,nation,2020-07-06,48910,2099,654
E92000001,England,nation,2020-07-05,48862,2100,540
E92000001,England,nation,2020-07-04,48818,2152,387
E92000001,England,nation,2020-07-03,48772,2294,542
E92000001,England,nation,2020-07-02,48727,2410,564
E92000001,England,nation,2020-07-01,48672,2509,615
E92000001,England,nation,2020-06-30,48628,2665,572
E92000001,England,nation,2020-06-29,48557,3024,666
E92000001,England,nation,2020-06-28,48494,2818,410
E92000001,England,nation,2020-06-27,48432,2819,504
E92000001,England,nation,2020-06-26,48371,2859,640
E92000001,England,nation,2020-06-25,48301,3066,635
E92000001,England,nation,2020-06-24,48204,3223,726
E92000001,England,nation,2020-06-23,48111,3288,729
E92000001,England,nation,2020-06-22,48022,3417,814
E92000001,England,nation,2020-06-21,47948,3373,549
E92000001,England,nation,2020-06-20,47881,3423,628
